,Ingredients,Amount,Measure,Item
1117,2 teaspoons baking powder,2 tsp.,teaspoon,baking powder
1118,1/4 teaspoon salt,0.25 tsp.,teaspoon,salt
1119,"1 tablespoon sugar, optional",1 tbsp.,tablespoon,sugar
1120,2 eggs,2 ,unit,eggs
1121,1 1/2 to 2 cups milk,1.5 cup,cup,milk
1122,"2 tablespoons melted and cooled butter (optional), plus unmelted butter for cooking, or use neutral oil",2 tbsp.,tablespoon,melted and cooled butter ( optional )
1123,A 1-pound block of organic extra-firm tofu (find one that is not too dry),,, A 1 pound block of organic extra firm tofu (find one that is not too dry)
1124,"3 tablespoons soy sauce, preferably tamari",3 tbsp.,tablespoon,soy sauce
1125,1/2 tablespoon minced ginger,0.5 tbsp.,tablespoon,minced ginger
1126,"1 garlic clove, minced",,, 1 garlic clove
1127,1/2 tablespoon minced shallot,0.5 tbsp.,tablespoon,minced shallot
1128,1/4 teaspoon minced jalapeño,0.25 tsp.,teaspoon,minced jalapeño
1129,"1/4 teaspoon cumin seeds, lightly toasted and ground",0.25 tsp.,teaspoon,cumin seeds
1130,1 1/2 tablespoons honey,1.5 tbsp.,tablespoon,honey
1131,2 1/4 teaspoons lime juice,2.25 tsp.,teaspoon,lime juice
1132,1/2 teaspoon lime zest,0.5 tsp.,teaspoon,lime zest
1133,3 tablespoons canola oil,3 tbsp.,tablespoon,canola oil
1134,"1/2 generous bunch cilantro, finely chopped",0.5 bunch,bunch,cilantro
1135,1 large ear white corn,1 ,unit,large ear white corn
1136,"1/4 large red bell pepper, roasted",0.25 ,unit,large red bell pepper
1137,"1/4 large yellow bell pepper, roasted",0.25 ,unit,large yellow bell pepper
1138,"1/4 generous bunch cilantro, finely chopped",0.25 bunch,bunch,cilantro
1139,"Pinch of cumin seeds, lightly toasted and ground",,, Pinch of cumin seeds
1140,Salt and freshly ground pepper to taste,,, Salt and freshly ground pepper to taste
1141,1 4-ounce slice of tofu,5 oz,ounce,slice of tofu
1142,"1/4 large or 1/2 small Hass avocado, thinly sliced",0.25 ,unit,large or 1/2 small Hass avocado
1143,1/2 to 3/4 cup corn relish,0.5 cup,cup,corn relish
1144,"Sliced heirloom or good roma tomatoes, in season only",,, Sliced heirloom or good roma tomatoes
1145,2 slices seeded sandwich bread,2 ,unit,slices seeded sandwich bread
1146,2 teaspoons Vegenaise,2 tsp.,teaspoon,Vegenaise
1147,Arugula,,, Arugula
1148,"1/2 ounce (1/2 cup, approximately) dried porcini mushrooms",0.5 oz,ounce,( 1/2 cup
1149,1 quart chicken stock or vegetable stock,1 qt,quart,chicken stock or vegetable stock
1150,1 1/2 cups farro,1.5 cup,cup,farro
1151,2 tablespoons extra virgin olive oil,2 tbsp.,tablespoon,extra virgin olive oil
1152,1/2 cup finely chopped onion,0.5 cup,cup,finely chopped onion
1153,"1 pound cremini mushrooms or wild mushrooms (or a mixture of the two), cleaned, trimmed and sliced",1 lb,pound,cremini mushrooms or wild mushrooms ( or a mixture of the two )
1154,Salt to taste,,, Salt to taste
1155,"2 large garlic cloves, green shoots removed, minced",2 ,unit,large garlic cloves
1156,2 teaspoons chopped fresh rosemary,2 tsp.,teaspoon,chopped fresh rosemary
1157,1/2 cup dry white wine,0.5 cup,cup,dry white wine
1158,Freshly ground pepper to taste,,, Freshly ground pepper to taste
1159,"1 to 2 ounces Parmesan cheese, grated (1/4 to 1/2 cup)",1 oz,ounce,Parmesan cheese
1160,1/4 cup chopped fresh parsley,0.25 cup,cup,chopped fresh parsley
1161,Kosher salt and black pepper,,, Kosher salt and black pepper
1162,2 tablespoons olive oil,2 tbsp.,tablespoon,olive oil
1163,"1 medium yellow onion, finely chopped",1 ,unit,medium yellow onion
1164,"2 garlic cloves, finely chopped",,, 2 garlic cloves
1165,"1/2 pound ground beef (preferably 20 percent fat), pork or dark meat turkey",0.5 lb,pound,ground beef ( preferably 20 percent fat )
1166,"12 ounces spaghetti, pappardelle or other long pasta",12 oz,ounce,spaghetti
1167,1/4 cup tomato paste,0.25 cup,cup,tomato paste
1168,2 teaspoons Worcestershire sauce,2 tsp.,teaspoon,Worcestershire sauce
1169,"Grated Parmesan, for serving",,, Grated Parmesan
1170,"1/2 pound fresh asparagus, medium thickness",0.5 lb,pound,fresh asparagus
1171,Salt,,, Salt
1172,1 tablespoon butter,1 tbsp.,tablespoon,butter
1173,1/2 tablespoon minced shallots,0.5 tbsp.,tablespoon,minced shallots
1174,1 cup heavy cream,1 cup,cup,heavy cream
1175,4 ounces smoked salmon sliced 1/4-inch thick,4 oz,ounce,smoked salmon sliced 1/4 inch thick
1176,Freshly ground black pepper,,, Freshly ground black pepper
1177,1 teaspoon fresh lemon juice,1 tsp.,teaspoon,fresh lemon juice
1178,9 to 10 ounces fresh green fettuccine noodles,9 oz,ounce,fresh green fettuccine noodles
1179,2 tablespoons minced fresh dill,2 tbsp.,tablespoon,minced fresh dill
1180,Kosher salt,,, Kosher salt
1181,"16 ounces spaghetti, linguine or bucatini",16 oz,ounce,spaghetti
1182,6 tablespoons unsalted butter,6 tbsp.,tablespoon,unsalted butter
1183,3 tablespoons white (or red) miso,3 tbsp.,tablespoon,white ( or red ) miso
1184,"4 ounces Parmesan, finely grated (1 packed cup)",4 oz,ounce,Parmesan
1185,"Kizami nori, furikake or thinly sliced seaweed snacks, for garnish (optional)",,, Kizami nori
1186,3 cups/385 grams all-purpose flour,3 ,unit,cups/385 grams all purpose flour
1187,3 tablespoons granulated sugar,3 tbsp.,tablespoon,granulated sugar
1188,1 tablespoon baking powder,1 tbsp.,tablespoon,baking powder
1189,1 1/2 teaspoons garlic powder,1.5 tsp.,teaspoon,garlic powder
1190,3/4 teaspoon fine sea salt,0.75 tsp.,teaspoon,fine sea salt
1191,1/4 teaspoon sweet or hot paprika,0.25 tsp.,teaspoon,sweet or hot paprika
1192,"1/2 cup/115 grams cold unsalted butter (1 stick), cut into 1/2-inch cubes, plus 6 tablespoons/85 grams melted unsalted butter",0.5 stick,stick,)
1193,"8 ounces/225 grams sharp or extra-sharp Cheddar, shredded (about 2 packed cups)",8 ,unit,ounces/225 grams sharp or extra sharp Cheddar
1194,1 cup/240 milliliters buttermilk,1 ,unit,cup/240 milliliters buttermilk
1195,1 large egg,1 ,unit,large egg
1196,"1 pound extra-firm tofu, cut into 1/2-inch slices",1 lb,pound,extra firm tofu
1197,1 tablespoon vegetable oil,1 tbsp.,tablespoon,vegetable oil
1198,1 tablespoon unsalted butter or vegan butter,1 tbsp.,tablespoon,unsalted butter or vegan butter
1199,1 tablespoon tamari,1 tbsp.,tablespoon,tamari
1200,1/2 cup barbecue sauce,0.5 cup,cup,barbecue sauce
1201,Kosher salt,,, Kosher salt
1202,"4 tablespoons unsalted butter, plus more for greasing the pan",4 tbsp.,tablespoon,unsalted butter
1203,"2 pounds yellow or Vidalia onions, peeled, halved and thinly sliced",2 lb,pound,yellow or Vidalia onions
1204,"5 sprigs fresh thyme, plus more thyme leaves for garnish",5 ,unit,sprigs fresh thyme
1205,1 fresh or dried bay leaf (optional),1 ,unit,fresh or dried bay leaf ( optional )
1206,Black pepper,,, Black pepper
1207,1 pound cavatappi or elbow pasta,1 lb,pound,cavatappi or elbow pasta
1208,"1 baguette, cut into 1/2-inch slices",1 ,unit,baguette
1209,1 garlic clove,,, 1 garlic clove
1210,"2 tablespoons sherry vinegar, red wine vinegar or white wine vinegar",2 tbsp.,tablespoon,sherry vinegar
1211,3 tablespoons all-purpose flour,3 tbsp.,tablespoon,all purpose flour
1212,4 cups whole milk,4 cup,cup,whole milk
1213,"16 ounces Gruyère, grated (about 5 cups)",16 oz,ounce,Gruyère
1214,"12 ounces white Cheddar, grated (about 4 cups)",12 oz,ounce,white Cheddar
1215,"1 1/2 pounds cultivated brown mushrooms, like shiitake, cremini or portobello",1.5 lb,pound,cultivated brown mushrooms
1216,"1/2 pound pale wild mushrooms, like chanterelle (or use King trumpet or oyster)",0.5 lb,pound,pale wild mushrooms
1217,Extra virgin olive oil,,, Extra virgin olive oil
1218,"1 large onion, diced",1 ,unit,large onion
1219,Salt and pepper,,, Salt and pepper
1220,1 teaspoon chopped thyme,1 tsp.,teaspoon,chopped thyme
1221,1 teaspoon chopped sage or rosemary,1 tsp.,teaspoon,chopped sage or rosemary
1222,Pinch red pepper flakes or cayenne,,, Pinch red pepper flakes or cayenne
1223,1 tablespoon tomato paste,1 tbsp.,tablespoon,tomato paste
1224,"3 small ripe tomatoes, peeled, seeded and chopped",3 ,unit,small ripe tomatoes
1225,1 tablespoon all-purpose flour,1 tbsp.,tablespoon,all purpose flour
1226,"Porcini broth, heated, or use chicken or vegetable broth",,, Porcini broth
1227,1 tablespoon butter,1 tbsp.,tablespoon,butter
1228,"3 garlic cloves, minced",,, 3 garlic cloves
1229,3 tablespoons chopped parsley,3 tbsp.,tablespoon,chopped parsley
1230,3/4 cup plus 3 tablespoons/200 grams mascarpone,0.75 cup,cup,plus 3 tablespoons/200 grams mascarpone
1231,1 tablespoon honey,1 tbsp.,tablespoon,honey
1232,"3/4 cup plus 2 tablespoons/200 grams heavy cream, chilled",0.75 cup,cup,plus 2 tablespoons/200 grams heavy cream
1233,4 slices shokupan (milk bread) or any fluffy white sandwich bread,4 ,unit,slices shokupan ( milk bread ) or any fluffy white sandwich bread
1234,"8 to 10 pieces cut fruit (1-inch chunks), such as strawberries, banana, mango and kiwi",8 ,unit,to 10 pieces cut fruit ( 1 inch chunks )
1235,2 tablespoons olive oil,2 tbsp.,tablespoon,olive oil
1236,"1 medium onion, finely diced",1 ,unit,medium onion
1237,"5 garlic cloves, minced or crushed",,, 5 garlic cloves
1238,"4 large tomatoes, roughly chopped",4 ,unit,large tomatoes
1239,1 teaspoon fine sea salt or to taste,1 tsp.,teaspoon,fine sea salt or to taste
1240,4 teaspoons ground cumin,4 tsp.,teaspoon,ground cumin
1241,1 teaspoon ground coriander,1 tsp.,teaspoon,ground coriander
1242,1/2 teaspoon ground black pepper,0.5 tsp.,teaspoon,ground black pepper
1243,1/8 teaspoon ground cinnamon,0.125 tsp.,teaspoon,ground cinnamon
1244,1/8 teaspoon ground cardamom,0.125 tsp.,teaspoon,ground cardamom
1245,"1 (14-ounce) can small fava beans, rinsed",14 oz,ounce,can small fava beans
1246,1/4 cup tomato sauce,0.25 cup,cup,tomato sauce
1247,"1 handful cilantro leaves, washed and roughly chopped",1 ,unit,handful cilantro leaves
1248,"Anjero or other flatbread, for serving (optional)",,, Anjero or other flatbread
1249,"2 to 3 tablespoons neutral oil, such as grapeseed or vegetable",2 tbsp.,tablespoon,neutral oil
1250,"1 (14-ounce) package extra-firm tofu, drained and cut into 1/2-inch slices",14 oz,ounce,package extra firm tofu
1251,Kosher salt and freshly ground pepper,,, Kosher salt and freshly ground pepper
1252,"10 ounces green beans, trimmed",10 oz,ounce,green beans
1253,"1/2 small napa cabbage, finely sliced",0.5 ,unit,small napa cabbage
1254,6 ounces bean sprouts (about 2 cups),6 oz,ounce,bean sprouts ( about 2 cups )
1255,"10 new potatoes or other small variety, peeled and halved",10 ,unit,small variety
1256,"1 large cucumber, peeled and sliced thinly on the diagonal",1 ,unit,large cucumber
1257,"2 tomatoes, each cut into 8 wedges",2 ,unit,tomatoes
1258,"4 boiled (8-minute) eggs, peeled and halved",4 ,unit,boiled ( 8 minute ) eggs
1259,1/2 cup homemade or store-bought fried shallots,0.5 cup,cup,homemade or store bought fried shallots
1260,1 cup roasted unsalted peanuts,1 cup,cup,roasted unsalted peanuts
1261,"4 shallots, peeled and sliced",4 ,unit,shallots
1262,"3 garlic cloves, sliced",,, 3 garlic cloves
1263,"1 to 2 red chiles, deseeded and sliced",1 ,unit,to 2 red chiles
1264,3 tablespoons kecap manis (see Tip),3 tbsp.,tablespoon,kecap manis ( see Tip )
1265,2 tablespoons palm or brown sugar,2 tbsp.,tablespoon,palm or brown sugar
1266,1 teaspoon sea salt,1 tsp.,teaspoon,sea salt
1267,"1 small chunk of ginger, 1 1/2 inches long, peeled and roughly chopped",1 ,unit,small chunk of ginger
1268,"1 clove garlic, roughly chopped",1 clove,clove,garlic
1269,1/4 cup soy sauce,0.25 cup,cup,soy sauce
1270,2 tablespoons sweet soy sauce,2 tbsp.,tablespoon,sweet soy sauce
1271,2 tablespoons white vinegar,2 tbsp.,tablespoon,white vinegar
1272,2 tablespoons mirin,2 tbsp.,tablespoon,mirin
1273,1/2 teaspoon sesame oil,0.5 tsp.,teaspoon,sesame oil
1274,1 1/2 small red dry Chinese chilis,1.5 ,unit,small red dry Chinese chilis
1275,1/2 teaspoon salt,0.5 tsp.,teaspoon,salt
1276,1/2 teaspoon sugar,0.5 tsp.,teaspoon,sugar
1277,"1/2 teaspoon xanthan gum, optional",0.5 tsp.,teaspoon,xanthan gum
1278,"2 cloves garlic, roughly chopped",2 clove,clove,garlic
1279,"1 small chunk ginger, 1 inch long, peeled and sliced against the grain",1 ,unit,small chunk ginger
1280,"Half a shallot, roughly chopped",,, Half a shallot
1281,1/4 teaspoon sesame oil,0.25 tsp.,teaspoon,sesame oil
1282,1/2 teaspoon sugar,0.5 tsp.,teaspoon,sugar
1283,1 1/2 teaspoons salt,1.5 tsp.,teaspoon,salt
1284,"1 small red dry Chinese chili, seeded",1 ,unit,small red dry Chinese chili
1285,1/2 cup white wine vinegar,0.5 cup,cup,white wine vinegar
1286,"1 scallion, in three-inch lengths, sliced vertically into chiffonade",1 ,unit,scallion
1287,"1 1/2 cucumbers, peeled, seeded, and sliced crosswise 1/8-inch thick",1.5 ,unit,cucumbers
1288,"3/4 cup frozen, shelled edamame, thawed",0.75 cup,cup,frozen
1289,"Vegetable oil, for deep frying",,, Vegetable oil
1290,1/4 cup salt,0.25 cup,cup,salt
1291,1 1/2 teaspoons sugar,1.5 tsp.,teaspoon,sugar
1292,1/4 teaspoon paprika,0.25 tsp.,teaspoon,paprika
1293,1/4 teaspoon garlic powder,0.25 tsp.,teaspoon,garlic powder
1294,1/4 teaspoon onion powder,0.25 tsp.,teaspoon,onion powder
1295,"8 ounces firm tofu, drained and cut into 4 slices",8 oz,ounce,firm tofu
1296,3 large egg whites,3 ,unit,large egg whites
1297,3 tablespoons cornstarch,3 tbsp.,tablespoon,cornstarch
1298,1/2 cup panko bread crumbs,0.5 cup,cup,panko bread crumbs
1299,2 subway (submarine) sandwich rolls,2 ,unit,subway ( submarine ) sandwich rolls
1300,Mayonnaise,,, Mayonnaise
1301,Sesame seeds,,, Sesame seeds
1302,"4 cups cooked, day-old jasmine rice (or 1 cup uncooked jasmine rice; see Tip)",4 cup,cup,cooked
1303,5 tablespoons canola or vegetable oil,5 tbsp.,tablespoon,canola or vegetable oil
1304,"3/4 pound mixed fresh mushrooms, such as shiitake and cremini, thinly sliced, or whole shimeji mushrooms",0.75 lb,pound,mixed fresh mushrooms
1305,Kosher salt and black pepper,,, Kosher salt and black pepper
1306,"3/4 pound baby bok choy (about 8 small baby bok choy), trimmed, then sliced crosswise 1/2-inch thick",0.75 lb,pound,baby bok choy ( about 8 small baby bok choy )
1307,"5 scallions, trimmed, greens and whites thinly sliced (about 1/2 cup)",5 ,unit,scallions
1308,"3 garlic cloves, roughly chopped",,, 3 garlic cloves
1309,"1 jalapeño, thinly sliced (optional)",1 ,unit,jalapeño
1310,3/4 cup frozen peas,0.75 cup,cup,frozen peas
1311,2 to 3 tablespoons finely chopped fresh ginger (from one 2-inch piece),2 tbsp.,tablespoon,finely chopped fresh ginger ( from one 2 inch piece )
1312,2 tablespoons soy sauce,2 tbsp.,tablespoon,soy sauce
1313,2 tablespoons sesame oil,2 tbsp.,tablespoon,sesame oil
1314,1/8 teaspoon white pepper (optional),0.125 tsp.,teaspoon,white pepper ( optional )
1315,1/2 cup thinly sliced fresh basil,0.5 cup,cup,thinly sliced fresh basil
1316,"2 (14-ounce) packages firm tofu, drained",,, 2 (14 ounce) packages firm tofu
1317,"2 tablespoons neutral oil, such as canola or grapeseed",2 tbsp.,tablespoon,neutral oil
1318,Kosher salt,,, Kosher salt
1319,1/4 cup granulated sugar,0.25 cup,cup,granulated sugar
1320,1 whole star anise,1 ,unit,whole star anise
1321,1 cup vegetable broth or stock,1 cup,cup,vegetable broth or stock
1322,1/4 cup Shaoxing wine,0.25 cup,cup,Shaoxing wine
1323,1/4 cup dark soy sauce (see Tip),0.25 cup,cup,dark soy sauce ( see Tip )
1324,"2 garlic cloves, thinly sliced",,, 2 garlic cloves
1325,"1 (1/2-inch) piece fresh ginger, scrubbed and thinly sliced",,, 1 (1/2 inch) piece fresh ginger
1326,1 small hot dried chile,1 ,unit,small hot dried chile
1327,"6 scallions, whites cut into 1/2-inch pieces, greens thinly sliced",6 ,unit,scallions
1328,"Steamed rice, for serving",,, Steamed rice
1329,1/2 cup chicken broth or water,0.5 cup,cup,chicken broth or water
1330,1/2 cup olive oil,0.5 cup,cup,olive oil
1331,1/2 cup freshly squeezed lemon juice (from 3 to 4 large lemons),0.5 cup,cup,freshly squeezed lemon juice ( from 3 to 4 large lemons )
1332,1 tablespoon kosher salt,1 tbsp.,tablespoon,kosher salt
1333,"3 pounds large Yukon Gold potatoes (about 6), peeled then halved lengthwise and crosswise",3 lb,pound,large Yukon Gold potatoes ( about 6 )
1334,1 tablespoon dried oregano (optional),1 tbsp.,tablespoon,dried oregano ( optional )
1335,"Flaky salt and black pepper, for serving",,, Flaky salt and black pepper
1336,1 (14- to 16-ounce) block extra-firm tofu,,,14.0 16 ounce ) block extra firm tofu
1337,Kosher salt (such as Diamond Crystal),,, Kosher salt (such as Diamond Crystal)
1338,"1 (14-ounce) can full-fat, unsweetened coconut milk",14 oz,ounce,can full fat
1339,3 to 4 tablespoons Thai green curry paste,3 tbsp.,tablespoon,Thai green curry paste
1340,"1 tablespoon neutral or coconut oil, plus more as needed",1 tbsp.,tablespoon,neutral or coconut oil
1341,"2 cups chopped vegetables, such as snap or snow peas, asparagus, broccoli, kale, fennel or corn kernels or a combination (see Tip)",2 cup,cup,chopped vegetables
1342,2 tablespoons lime juice (from 1 lime),2 tbsp.,tablespoon,lime juice ( from 1 lime )
1343,"Cooked rice or another grain, for serving",,, Cooked rice or another grain
1344,"5 tablespoons unsalted butter, plus more as needed",5 tbsp.,tablespoon,unsalted butter
1345,"1 large Granny Smith apple, cored and thinly sliced",1 ,unit,large Granny Smith apple
1346,"1 small shallot, halved and thinly sliced",1 ,unit,small shallot
1347,1 teaspoon chopped fresh rosemary,1 tsp.,teaspoon,chopped fresh rosemary
1348,Kosher salt,,, Kosher salt
1349,1/2 cup apple butter,0.5 cup,cup,apple butter
1350,"8 slices country bread, cut 1/2-inch thick",8 ,unit,slices country bread
1351,"4 ounces sharp Cheddar, sliced 1/4-inch thick",4 oz,ounce,sharp Cheddar
1352,2 cups vegetable stock,2 cup,cup,vegetable stock
1353,1 cup quick-cooking grits,1 cup,cup,quick cooking grits
1354,1/4 teaspoon ground black pepper,0.25 tsp.,teaspoon,ground black pepper
1355,1/2 cup whole milk,0.5 cup,cup,whole milk
1356,1/2 cup shredded sharp Cheddar (3 ounces),0.5 cup,cup,shredded sharp Cheddar ( 3 ounces )
1357,Salt,,, Salt
1358,2 tablespoons extra-virgin olive oil,2 tbsp.,tablespoon,extra virgin olive oil
